ger,eng,old_sim,new_sim,shift,change_type,word_1_distance,word_2_distance,word_1_rank,word_1_rel_freq,word_2_rank,word_2_rel_freq
eine,a,-0.3488504886627197,0.5411626100540161,0.8900130987167358,Convergence,0.12403476238250732,1.1905692964792252,5.0,18396.46,3097.0,21.98
auch,too,-0.09115591645240784,0.5374805927276611,0.628636509180069,Convergence,0.09354060888290405,0.9970022400375456,457.0,234.32,19.0,5034.99
bis,bis,1.0,1.0,0.0,Parallel Change,0.466236412525177,0.466236412525177,8102.0,7.27,71.0,1190.98
werden,be,-0.3008940815925598,0.7622708082199097,1.0631648898124695,Convergence,0.07953345775604248,1.0709733664989471,17.0,4546.75,6.0,9730.47
durch,by,-0.47156116366386414,0.5072221755981445,0.9787833392620087,Convergence,0.11272233724594116,1.2340236008167267,15.0,5077.66,44.0,2014.37
einen,a,-0.31106749176979065,0.5744900107383728,0.8855575025081635,Convergence,0.12403476238250732,1.0717943906784058,5.0,18396.46,1550.0,48.95
aber,but,-0.3644597828388214,0.7487069368362427,1.113166719675064,Convergence,0.07985097169876099,1.0901662558317184,37.0,2198.22,32.0,2854.59
nur,nur,1.0,1.0,0.0,Parallel Change,0.2396833896636963,0.2396833896636963,24957.0,1.17,37.0,2502.81
noch,still,-0.3249560296535492,0.5825906991958618,0.907546728849411,Convergence,0.1338886022567749,1.0542048625648022,123.0,598.49,39.0,2450.99
noch,yet,-0.35288500785827637,0.6967917084693909,1.0496767163276672,Convergence,0.10362297296524048,1.0542048625648022,505.0,211.62,39.0,2450.99
artikel,article,0.6538890600204468,0.48095571994781494,-0.17293334007263184,Parallel Change,0.10793673992156982,0.11930114030838013,2974.0,30.35,312.0,226.74
man,man,1.0,1.0,0.0,Parallel Change,0.11178028583526611,0.11178028583526611,958.0,113.47,38.0,2457.57
vor,before,-0.1772959679365158,0.5405462384223938,0.7178422063589096,Convergence,0.142342209815979,0.9915286488831043,106.0,687.39,49.0,1839.06
hier,here,-0.33304479718208313,0.7024554014205933,1.0355001986026764,Convergence,0.12594717741012573,1.0814845636487007,701.0,156.55,77.0,1112.59
diskussion,discussions,0.7162095904350281,0.49669215083122253,-0.21951743960380554,Divergence,0.09622496366500854,0.2453749179840088,1750.0,58.05,506.0,144.58
diskussion,discussion,0.7352353930473328,0.6060160398483276,-0.12921935319900513,Divergence,0.09096252918243408,0.2453749179840088,2500.0,37.94,506.0,144.58
diskussion,debate,0.687203049659729,0.6585221290588379,-0.028680920600891113,Divergence,0.08551627397537231,0.2453749179840088,1169.0,91.21,506.0,144.58
jahr,year,0.7268835306167603,0.759774386882782,0.03289085626602173,Parallel Change,0.10209155082702637,0.1412675380706787,36.0,2233.57,55.0,1666.68
wenn,if,0.01971285603940487,0.7844571471214294,0.7647442910820246,Convergence,0.06857174634933472,0.8579242080450058,96.0,771.63,42.0,2126.88
dann,then,-0.4132842719554901,0.5319836735725403,0.9452679455280304,Convergence,0.13898825645446777,1.1921981275081635,316.0,308.79,57.0,1565.39
zwei,two,-0.49087586998939514,0.8417676687240601,1.3326435387134552,Convergence,0.11702018976211548,1.1281714588403702,55.0,1402.3,106.0,646.45
was,what,0.5443218350410461,0.2182265967130661,-0.32609523832798004,Parallel Change,0.06272995471954346,0.14887970685958862,185.0,452.65,51.0,1800.24
sowie,and,0.5324884057044983,0.3306257724761963,-0.201862633228302,Parallel Change,0.182481050491333,0.10665738582611084,6.0,17766.51,162.0,435.74
zwischen,between,-0.12524481117725372,0.8033432960510254,0.9285881072282791,Convergence,0.09231692552566528,0.8762274459004402,91.0,803.51,102.0,686.82
team,team,1.0,1.0,0.0,Parallel Change,0.3343709111213684,0.3343709111213684,561.0,192.81,1001.0,75.76
mehr,more,-0.32790544629096985,0.7166294455528259,1.0445348918437958,Convergence,0.09797346591949463,0.9156384393572807,53.0,1478.16,56.0,1631.02
gegen,against,-0.05856304243206978,0.7181503772735596,0.7767134197056293,Convergence,0.10637837648391724,0.9987767322454602,84.0,932.69,88.0,879.17
